City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
206,Bon Air,US,37.5249,-77.5578,75.42,89,90,1.01,very heavy rain,27.34,0
207,Flin Flon,CA,54.7682,-101.865,78.26,31,80,9.42,broken clouds,0.0,0
208,Lucera,IT,41.5082,15.3351,73.22,36,0,2.75,clear sky,0.0,0
209,Chegdomyn,RU,51.1167,133.0167,68.29,76,40,2.37,scattered clouds,0.0,0
210,Abu Kamal,SY,34.4506,40.9171,85.71,29,0,13.04,clear sky,0.0,0
211,Lumby,CA,50.2498,-118.969,92.19,20,17,1.99,few clouds,0.0,0
212,Portland,US,45.5234,-122.6762,99.9,33,40,3.0,haze,0.0,0
213,Yulara,AU,-25.2406,130.9889,60.64,27,90,12.66,overcast clouds,0.0,0
214,Batemans Bay,AU,-35.7167,150.1833,61.92,39,0,11.59,clear sky,0.0,0
215,Narsaq,GL,60.9167,-46.05,50.22,98,99,4.59,moderate rain,1.11,0
216,Yarim,YE,14.298,44.3779,60.39,56,76,3.89,broken clouds,0.0,0
217,Mawlaik,MM,23.6333,94.4167,76.87,99,100,1.16,overcast clouds,0.0,0
218,Arlit,NE,18.7369,7.3853,94.37,24,95,7.0,overcast clouds,0.0,0
219,Abnub,EG,27.2696,31.1511,84.65,37,0,13.04,clear sky,0.0,0
220,Muravlenko,RU,63.7898,74.523,51.12,87,79,11.32,broken clouds,0.0,0
221,Erdenet,MN,49.0333,104.0833,61.2,84,100,2.57,overcast clouds,0.0,0
222,Pokhara,NP,28.2333,83.9833,70.56,89,82,2.89,broken clouds,0.0,0
223,Corner Brook,CA,48.9667,-57.9484,66.36,97,84,3.51,broken clouds,0.0,0
224,Saint-Philippe,RE,-21.3585,55.7679,63.95,74,87,12.46,light rain,0.13,0
225,Zhanaozen,KZ,43.3,52.8,74.01,24,0,9.1,clear sky,0.0,0
226,Yichun,CN,47.7,128.9,65.32,73,71,0.4,broken clouds,0.0,0
227,Viedma,AR,-40.8135,-62.9967,62.1,25,97,18.05,overcast clouds,0.0,0
228,Srandakan,ID,-7.9386,110.2506,76.96,84,36,10.69,scattered clouds,0.0,0
229,Te Anau,NZ,-45.4167,167.7167,42.82,96,86,10.22,moderate rain,1.97,0
230,Severo-Kurilsk,RU,50.6789,156.125,57.45,84,33,13.76,scattered clouds,0.0,0
